-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::sum         0.20%       2.567ms         0.43%       5.561ms      18.915us     533.893us         0.08%     838.023us       2.850us           294  
                                              aten::all         0.19%       2.441ms         0.31%       4.053ms       8.138us     848.107us         0.13%     848.107us       1.703us           498  
             hexapod/sensor/lf_tibia_push_lever/acquire         0.19%       2.417ms         0.27%       3.446ms      95.709us       0.000us         0.00%      12.288us       0.341us            36  
                        hexapod/sensor/lf_femur/acquire         0.19%       2.414ms         0.27%       3.459ms      96.071us       0.000us         0.00%      15.104us       0.420us            36  
                        hexapod/sensor/lr_femur/acquire         0.19%       2.404ms         0.26%       3.365ms      93.480us       0.000us         0.00%      15.232us       0.423us            36  
                                               aten::eq         0.18%       2.326ms         0.42%       5.462ms       8.725us     804.075us         0.13%     807.372us       1.290us           626  
                hexapod/sensor/rf_tibia_pushrod/acquire         0.18%       2.314ms         0.25%       3.295ms      91.521us       0.000us         0.00%      10.752us       0.299us            36  
             hexapod/sensor/lr_tibia_push_lever/acquire         0.18%       2.310ms         0.25%       3.296ms      91.557us       0.000us         0.00%      14.048us       0.390us            36  
                         hexapod/sensor/rr_coxa/acquire         0.18%       2.305ms         0.25%       3.271ms      90.849us       0.000us         0.00%       6.784us       0.188us            36  
                hexapod/sensor/lm_tibia_pushrod/acquire         0.18%       2.298ms         0.25%       3.278ms      91.068us       0.000us         0.00%       5.504us       0.153us            36  
                hexapod/sensor/lf_tibia_pushrod/acquire         0.18%       2.292ms         0.25%       3.291ms      91.409us       0.000us         0.00%       6.144us       0.171us            36  
                         hexapod/sensor/lm_coxa/acquire         0.18%       2.290ms         0.25%       3.300ms      91.659us       0.000us         0.00%       6.400us       0.178us            36  
             hexapod/sensor/lm_tibia_push_lever/acquire         0.18%       2.288ms         0.25%       3.290ms      91.380us       0.000us         0.00%       4.000us       0.111us            36  
                        hexapod/sensor/lm_femur/acquire         0.18%       2.279ms         0.25%       3.251ms      90.316us       0.000us         0.00%      11.456us       0.318us            36  
                        hexapod/sensor/rf_femur/acquire         0.17%       2.268ms         0.25%       3.251ms      90.294us       0.000us         0.00%       9.920us       0.276us            36  
             hexapod/sensor/rf_tibia_push_lever/acquire         0.17%       2.265ms         0.25%       3.252ms      90.326us       0.000us         0.00%      12.384us       0.344us            36  
             hexapod/sensor/rr_tibia_push_lever/acquire         0.17%       2.263ms         0.25%       3.245ms      90.138us       0.000us         0.00%      11.489us       0.319us            36  
             hexapod/sensor/rm_tibia_push_lever/acquire         0.17%       2.246ms         0.25%       3.219ms      89.403us       0.000us         0.00%      12.896us       0.358us            36  
                         hexapod/sensor/rf_coxa/acquire         0.17%       2.242ms         0.25%       3.216ms      89.320us       0.000us         0.00%      20.353us       0.565us            36  
                hexapod/sensor/rr_tibia_pushrod/acquire         0.17%       2.234ms         0.25%       3.202ms      88.945us       0.000us         0.00%      12.608us       0.350us            36  
                         hexapod/sensor/rm_coxa/acquire         0.17%       2.230ms         0.25%       3.221ms      89.483us       0.000us         0.00%      16.992us       0.472us            36  
                         hexapod/sensor/lr_coxa/acquire         0.17%       2.223ms         0.25%       3.184ms      88.434us       0.000us         0.00%      10.720us       0.298us            36  
                hexapod/sensor/rm_tibia_pushrod/acquire         0.17%       2.221ms         0.25%       3.203ms      88.971us       0.000us         0.00%      28.768us       0.799us            36  
                        hexapod/sensor/rm_femur/acquire         0.17%       2.221ms         0.25%       3.183ms      88.408us       0.000us         0.00%      15.040us       0.418us            36  
                        hexapod/sensor/rr_femur/acquire         0.17%       2.216ms         0.25%       3.186ms      88.486us       0.000us         0.00%      16.704us       0.464us            36  
                                            aten::stack         0.17%       2.158ms         0.88%      11.345ms      38.587us       0.000us         0.00%       1.048ms       3.564us           294  
                                               aten::ne         0.16%       2.134ms         0.28%       3.693ms       6.572us     608.103us         0.10%     608.103us       1.082us           562  
                            hexapod/state/get/joint_vel         0.16%       2.037ms         0.41%       5.325ms      39.737us       0.000us         0.00%       6.752us       0.050us           134  
                                          aten::resize_         0.15%       2.005ms         0.15%       2.005ms       1.121us       0.000us         0.00%       0.000us       0.000us          1788  
                                           aten::gather         0.15%       1.900ms         0.26%       3.410ms       8.317us       1.111ms         0.17%       1.111ms       2.711us           410  
                                     aten::linalg_cross         0.15%       1.895ms         0.28%       3.593ms       9.072us     451.011us         0.07%     451.011us       1.139us           396  
                                          aten::nonzero         0.14%       1.847ms         0.33%       4.254ms      42.542us     474.405us         0.07%     474.405us       4.744us           100  
      hexapod/sensor/body/native/get_net_contact_forces         0.14%       1.780ms         0.25%       3.256ms      85.679us       0.000us         0.00%      20.448us       0.538us            38  
                                            aten::slice         0.13%       1.684ms         0.15%       2.006ms       1.085us       0.000us         0.00%       0.000us       0.000us          1848  
                                            aten::clamp         0.13%       1.631ms         0.22%       2.869ms       7.969us     419.814us         0.07%     419.814us       1.166us           360  
                hexapod/state/native/get_dof_velocities         0.12%       1.618ms         0.25%       3.287ms     102.728us       0.000us         0.00%       6.752us       0.211us            32  
                                            aten::where         0.12%       1.594ms         0.50%       6.467ms      14.244us     338.787us         0.05%     735.494us       1.620us           454  
                            hexapod/state/get/joint_pos         0.12%       1.581ms         0.20%       2.547ms      24.491us       0.000us         0.00%      15.360us       0.148us           104  
                   hexapod/sensor/body/timestamp_update         0.11%       1.480ms         0.13%       1.649ms      51.520us       0.000us         0.00%       3.552us       0.111us            32  
                                     aten::index_select         0.11%       1.474ms         0.38%       4.881ms      17.308us       0.000us         0.00%     729.354us       2.586us           282  
        hexapod/sensor/lf_tibia/native/get_contact_data         0.11%       1.464ms         0.46%       5.914ms     123.201us       0.000us         0.00%      72.130us       1.503us            48  
                                         aten::isfinite         0.11%       1.454ms         1.41%      18.339ms      32.632us       0.000us         0.00%       2.701ms       4.806us           562  
                                            aten::clone         0.11%       1.452ms         0.86%      11.151ms       9.125us       0.000us         0.00%       1.481ms       1.212us          1222  
                                             cudaMalloc         0.11%       1.417ms         0.11%       1.417ms       4.920us       8.928us         0.00%       8.928us       0.031us           288  
                                              aten::div         0.11%       1.388ms         0.19%       2.427ms       7.492us     459.272us         0.07%     459.272us       1.418us           324  
                                             aten::view         0.10%       1.315ms         0.10%       1.315ms       0.365us       0.000us         0.00%       0.000us       0.000us          3600  
                           hexapod/state/get/root_pos_w         0.10%       1.301ms         0.13%       1.663ms      43.754us       0.000us         0.00%       6.752us       0.178us            38  
                       hexapod/state/get/body_com_vel_w         0.10%       1.264ms         0.19%       2.513ms      78.535us       0.000us         0.00%      12.128us       0.379us            32  
                                              aten::max         0.09%       1.177ms         0.19%       2.525ms       8.708us     500.771us         0.08%     500.771us       1.727us           290  
                                    aten::empty_strided         0.09%       1.160ms         0.09%       1.160ms       1.972us       0.000us         0.00%       0.000us       0.000us           588  
               fused_mul_mul_add_sub_817031881056232255         0.09%       1.154ms         0.10%       1.294ms      40.423us      40.352us         0.01%      40.352us       1.261us            32  
        hexapod/sensor/lm_tibia/native/get_contact_data         0.09%       1.108ms         0.34%       4.443ms      92.572us       0.000us         0.00%      57.952us       1.207us            48  
        hexapod/sensor/lr_tibia/native/get_contact_data         0.08%       1.072ms         0.44%       5.659ms     117.901us       0.000us         0.00%      63.329us       1.319us            48  
          hexapod/sensor/lf_tibia/native/get_transforms         0.08%       1.070ms         0.13%       1.656ms      34.490us       0.000us         0.00%       2.304us       0.048us            48  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.296s
Self CUDA time total: 638.316ms
