index_zero_based,part_name,mesh,category,mass_kg,com_part_x_m,com_part_y_m,com_part_z_m,com_export_x_m,com_export_y_m,com_export_z_m,ixx_kg_m2,ixy_kg_m2,ixz_kg_m2,iyy_kg_m2,iyz_kg_m2,izz_kg_m2,mesh_volume_m3,density_estimate_kg_m3,assigned_material_name,tensor_physically_consistent,source_document_id
224,m3_low_profile_socket_head_screw__5mm_l__hs_steel_18,assets/m3_low_profile_socket_head_screw__5mm_l__hs_steel.stl,catalog_fasteners_and_hardware,0.0005661645150078846,2.8649982787048754e-07,5.711460076281225e-07,0.0011258481258300179,-0.22397181207039907,0.030453367937417864,0.06281408856581215,2.8989254502074083e-09,-1.9835192503100982e-13,8.664747465795595e-13,2.8988875603361707e-09,1.0555987376104463e-12,1.5916375087936923e-09,7.203356940451148e-08,7859.731506966328,,True,89113c13c1904d01ede0bcb9
225,m3_low_profile_socket_head_screw__6mm_l__18_8_ss_13,assets/m3_low_profile_socket_head_screw__6mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0006211045207284469,4.496378366916472e-07,-1.2212095659441424e-06,0.0012212185740947546,-0.21238244355397035,-0.017863889587348476,0.05066469428013904,4.105658746996272e-09,1.4206308788657533e-13,6.147111898853524e-13,4.105736470004493e-09,-1.4886537407071392e-12,1.6477516864587332e-09,7.726007294857367e-08,8039.139713754482,,True,c897f71ee271aedb99169257
226,m3_low_profile_socket_head_screw__6mm_l__18_8_ss_14,assets/m3_low_profile_socket_head_screw__6mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0006211045207284469,4.496378366916472e-07,-1.2212095659441424e-06,0.0012212185740947546,-0.19977064290536964,-0.017800800322322473,0.06618688820189507,4.105658746996272e-09,1.4206308788657533e-13,6.147111898853524e-13,4.105736470004493e-09,-1.4886537407071392e-12,1.6477516864587332e-09,7.726007294857367e-08,8039.139713754482,,True,c897f71ee271aedb99169257
227,m3_low_profile_socket_head_screw__6mm_l__18_8_ss_15,assets/m3_low_profile_socket_head_screw__6mm_l__18_8_ss.stl,catalog_fasteners_and_hardware,0.0006211045207284469,4.496378366916472e-07,-1.2212095659441424e-06,0.0012212185740947546,-0.1999457246966131,0.017198761765886562,0.0661868882018945,4.105658746996272e-09,1.4206308788657533e-13,6.147111898853524e-13,4.105736470004493e-09,-1.4886537407071392e-12,1.6477516864587332e-09,7.726007294857367e-08,8039.139713754482,,True,c897f71ee271aedb99169257
228,m3_low_profile_socket_head_screw__5mm_l__hs_steel_19,assets/m3_low_profile_socket_head_screw__5mm_l__hs_steel.stl,catalog_fasteners_and_hardware,0.0005661645150078846,2.8649982787048754e-07,5.711460076281225e-07,0.0011258481258300179,-0.1672784613601105,0.029768958614075473,0.0400992938973494,2.8989254502074083e-09,-1.9835192503100982e-13,8.664747465795595e-13,2.8988875603361707e-09,1.0555987376104463e-12,1.5916375087936923e-09,7.203356940451148e-08,7859.731506966328,,True,89113c13c1904d01ede0bcb9
229,m3_low_profile_socket_head_screw__5mm_l__hs_steel_20,assets/m3_low_profile_socket_head_screw__5mm_l__hs_steel.stl,catalog_fasteners_and_hardware,0.0005661645150078846,2.8649982787048754e-07,5.711460076281225e-07,0.0011258481258300179,-0.17107182923207068,0.029749982672598877,0.016400981719018437,2.8989254502074083e-09,-1.9835192503100982e-13,8.664747465795595e-13,2.8988875603361707e-09,1.0555987376104463e-12,1.5916375087936923e-09,7.203356940451148e-08,7859.731506966328,,True,89113c13c1904d01ede0bcb9
230,m3_low_profile_socket_head_screw__5mm_l__hs_steel_21,assets/m3_low_profile_socket_head_screw__5mm_l__hs_steel.stl,catalog_fasteners_and_hardware,0.0005661645150078846,2.8649982787048754e-07,5.711460076281225e-07,0.0011258481258300179,-0.15796526153308676,0.029815546960061206,0.03253211882946937,2.8989254502074083e-09,-1.9835192503100982e-13,8.664747465795595e-13,2.8988875603361707e-09,1.0555987376104463e-12,1.5916375087936923e-09,7.203356940451148e-08,7859.731506966328,,True,89113c13c1904d01ede0bcb9
231,m3_low_profile_socket_head_screw__5mm_l__hs_steel_22,assets/m3_low_profile_socket_head_screw__5mm_l__hs_steel.stl,catalog_fasteners_and_hardware,0.0005661645150078846,2.8649982787048754e-07,5.711460076281225e-07,0.0011258481258300179,-0.17848834512311434,0.029712882297351435,0.03581731287606395,2.8989254502074083e-09,-1.9835192503100982e-13,8.664747465795595e-13,2.8988875603361707e-09,1.0555987376104463e-12,1.5916375087936923e-09,7.203356940451148e-08,7859.731506966328,,True,89113c13c1904d01ede0bcb9
232,m3_low_profile_socket_head_screw__5mm_l__hs_steel_23,assets/m3_low_profile_socket_head_screw__5mm_l__hs_steel.stl,catalog_fasteners_and_hardware,0.0005661645150078846,2.8649982787048754e-07,5.711460076281225e-07,0.0011258481258300179,-0.18038502905909443,0.029703394326613137,0.02396815678689846,2.8989254502074083e-09,-1.9835192503100982e-13,8.664747465795595e-13,2.8988875603361707e-09,1.0555987376104463e-12,1.5916375087936923e-09,7.203356940451148e-08,7859.731506966328,,True,89113c13c1904d01ede0bcb9
233,femur_first_stage,assets/femur_first_stage.stl,custom_robot_structure,0.02893272756943386,5.237436292258961e-18,0.00021415467942420517,0.018697270116379054,-0.18943953179107254,-3.5964884740837704e-05,0.044836446816036234,2.999559672756682e-05,0.0,0.0,1.3134048946438463e-05,-1.6297379220881617e-07,2.1614238937730384e-05,1.0793795474248024e-05,2680.496183058307,,True,881b01051a1ec5c958bf7768
