link,colliders,visual_instances,max_vertex_outside_mm,area_centroid_outside_1mm_percent,support_overhang_mm,support_underreach_mm,cad_reset_bottom_mm,collider_reset_bottom_mm
body,21,163,6.396280205536743,1.2430108987506454,54.79919474661102,0.0,137.9699893335074,137.39743989511356
lf_coxa,10,122,3.8841784834485504,4.701536609321346,29.076432744811047,2.0311650005762973,142.9699577415903,118.40829682521333
lf_femur,7,109,11.22560341009966,1.2930610285409287,14.622096295713781,0.0,146.47975768829963,134.5640387615805
lf_tibia,4,46,6.0992967997712535,5.493725332259081,20.286561584370094,5.080168471563812,4.804033510127343,5.035631790836908
lf_tibia_push_lever,3,11,5.449932085249039,1.0269591449880275,11.384412453829293,1.8801482205540125,189.75646839985794,184.5259012866131
lf_tibia_pushrod,1,6,6.990502458890379,5.96593484068813,4.634808842497896,6.638238143734219,226.7282489571975,224.68429384283752
lm_coxa,10,122,3.8841784594356685,4.701704915889556,29.072730954780113,2.05029792639997,142.9699592340651,118.40829296807779
lm_femur,7,109,11.224451145554431,1.292957256263226,14.621556460550092,0.0,146.49120398931768,134.53241039975333
lm_tibia,4,46,6.099297338547665,5.493725332259081,20.28701539454216,5.080166334973879,4.805356587840509,5.030289266818894
lm_tibia_push_lever,3,11,5.450364074940683,1.0269591449880275,11.384357608963905,1.8801908854315028,189.72519540226946,184.48835470351176
lm_tibia_pushrod,1,6,6.990499718472172,5.964856495138905,4.6347492512875075,6.639102340811022,226.694743262612,224.65524860154352
lr_coxa,10,122,3.884178429300559,4.701537964625673,29.074307448960425,2.042625898803288,142.96996069685892,118.40829316671605
lr_femur,7,109,11.22474932714675,1.2930104979679495,14.622027748438335,0.0,146.47439215361177,134.53247963757508
lr_tibia,4,46,6.099297049977332,5.493725332259081,20.28754432543588,5.080171053110705,4.776661799187592,5.0005096747972875
lr_tibia_push_lever,3,11,5.450354230869016,1.0269591449880275,11.384438472982465,1.8798924686760694,189.70990823810791,184.472055772873
lr_tibia_pushrod,1,6,6.99079503328631,5.965130685129206,4.634786322228672,6.638857315757416,226.67559130516665,224.63445940035294
rf_coxa,10,122,3.884178450930708,4.701536609321346,29.072471747559955,2.050250382786098,142.96996004507673,118.40829012313316
rf_femur,7,109,11.224079862220771,1.2944007107869269,14.620802387938683,0.0,146.49113886795752,134.53280569262236
rf_tibia,4,46,6.099298050991048,5.493725332259081,20.286100617525896,5.080166017454757,4.805467495130777,5.030385811930271
rf_tibia_push_lever,3,11,5.45042723020776,1.0269591449880275,11.384391470920193,1.8802063814987118,189.7253044957598,184.48847640908377
rf_tibia_pushrod,1,6,6.9908599503995505,5.964572384189547,4.634813106573442,6.638769469617833,226.69539977156344,224.6558896902346
rm_coxa,10,122,3.884178402087251,4.701536609321346,29.07265515470371,2.0502864321605143,142.9699598541239,118.4082911209959
rm_femur,7,109,11.22457683509263,1.2943869714497502,14.62180592683412,0.0,146.4914704313527,134.53251517943912
rm_tibia,4,46,6.099297198161296,5.493725332259081,20.28728784051206,5.080165395150216,4.8058574647792955,5.030796022504585
rm_tibia_push_lever,3,11,5.450428271748291,1.0269591449880275,11.384421667195141,1.880125426898034,189.72545063611116,184.48863757182454
rm_tibia_pushrod,1,6,6.990456745492841,5.964856495138905,4.634813851623565,6.638279581537575,226.69588824986693,224.65638596163112
rr_coxa,10,122,3.884178485963393,4.701550490555915,29.07266618996994,2.0502736267447865,142.96995988148262,118.40829173123188
rr_femur,7,109,11.22465280712794,1.292937705787976,14.62065662472126,0.0,146.49128728680648,134.53321763652397
rr_tibia,4,46,6.099297738537346,5.493725332259081,20.28727157384636,5.080164350675432,4.80614246654873,5.0310814974724725
rr_tibia_push_lever,3,11,5.450290234955626,1.0269591449880275,11.384431743013735,1.8807726514141996,189.72513625910236,184.4883076895081
rr_tibia_pushrod,1,6,6.990291407680065,5.963997312711421,4.6347993266414536,6.638233036967957,226.69532330252616,224.65582902207913
