sample_index,pad_x_m,pad_y_m,pad_z_m,tibia_x_m,tibia_y_m,tibia_z_m,distance_to_silicone_surface_m,silicone_winding,classification,occupied_visual_indices,uncertain_visual_indices,aabb_hits,distance_lower_bound_to_other_cad_solids_m
43,0.19213264621794224,0.004187500104308128,0.014141217921860516,-0.10791032536916514,0.15958206777410774,-0.02244787723663978,0.0025625000707805157,2.4295903816735198e-17,occupied,[2],[],1,0.0
51,0.1921422779560089,-0.002187499776482582,0.014755031210370362,-0.10844777704385924,0.15928505168420992,-0.01607289408816626,0.0025625000707805157,2.208718528794109e-17,occupied,[2],[],1,0.0
57,0.19215290993452072,0.0010000001639127731,0.01481259346473962,-0.10850283106441254,0.15926550373382808,-0.01926039612809852,0.005750000011175871,2.208718528794109e-17,occupied,[2],[],1,0.0
62,0.19216138310730457,-0.002187499776482582,0.014089002623222768,-0.10787966918236605,0.15963320760206987,-0.016072877578403665,0.0025625000707805157,-5.521796321985272e-17,occupied,[2],[],1,0.0
64,0.19216354191303253,0.004187500104308128,0.01487015571910888,-0.10855788508496583,0.15924595578344627,-0.02244789816803078,0.0025625000707805157,-1.3252311172764653e-17,occupied,[2],[],1,0.0
66,0.19216516613960266,0.0010000001639127731,0.014047222677618265,-0.10784515796190368,0.15965717801967996,-0.019260376619964346,0.005750000011175871,2.208718528794109e-17,occupied,[2],[],1,0.0
67,0.19216894917190075,0.004187500104308128,0.014005442732013762,-0.1078106467414413,0.15968114843729003,-0.02244787566152503,0.0025625000707805157,-2.208718528794109e-17,occupied,[2],[],1,0.0
70,0.1921752318739891,-0.002187499776482582,0.014851482817903161,-0.10854783192685767,0.15926561219669022,-0.01607289845258462,0.0025625000707805157,-3.3130777931911635e-17,occupied,[2],[],1,0.0
73,0.19218586385250092,0.0010000001639127731,0.01490904507227242,-0.10860288594741098,0.15924606424630844,-0.019260400492516882,0.005750000011175871,2.6504622345529306e-17,occupied,[2],[],1,0.0
78,0.19219649583101273,0.004187500104308128,0.014966607326641679,-0.10865793996796426,0.1592265162959266,-0.022447902532449146,0.0025625000707805157,-4.417437057588218e-18,occupied,[2],[],1,0.0
80,0.19219768606126308,-0.002187499776482582,0.013953227433376014,-0.1077799905546422,0.15973228826525218,-0.016072876003288918,0.0025625000707805157,8.834874115176436e-18,occupied,[2],[],1,0.0
81,0.19220146909356117,0.0010000001639127731,0.013911447487771511,-0.10774547933417981,0.15975625868286228,-0.0192603750448496,0.005750000011175871,1.3252311172764653e-17,occupied,[2],[],1,0.0
