top_enclosure.stl 1 bbox [[-144.279, -224.94, 61.5], [144.996, 224.948, 66.5]] cen [0.039, -0.141, 63.878] volume_cc 143.8641
m4_countersunk_hex_drive_screw__12mm_l__alloy_steel.stl 60 bbox [[-4.0, -3.464, -6.0], [3.939, 3.464, 6.0]] cen [0.001, -0.002, 1.399] volume_cc 0.1604
m3_low_profile_socket_head_screw__5mm_l__hs_steel.stl 73 bbox [[-2.747, -2.722, -3.5], [2.74, 2.726, 3.5]] cen [0.0, 0.001, 1.126] volume_cc 0.072
m3_countersunk_hex_drive_screw__8mm_l__alloy_steel.stl 36 bbox [[-2.298, -2.598, -4.0], [2.719, 2.898, 4.0]] cen [-0.001, -0.0, 0.95] volume_cc 0.0614
inst 615 motor_bearing_holder.stl center [98.565, -250.266, 28.25] origin [100.304, -248.565, 28.25] axes [[0.49451, 0.49451, -0.71479], [-0.50543, -0.50543, -0.69934], [-0.70711, 0.70711, -0.0]]
inst 616 bearing_insert.stl center [95.588, -253.179, 28.25] origin [99.589, -249.264, 28.25] axes [[0.44101, 0.54277, -0.71479], [-0.45074, -0.55475, -0.69934], [-0.77611, 0.6306, -0.0]]
inst 617 motor_flange.stl center [133.111, -216.466, 28.25] origin [131.755, -217.793, 28.25] axes [[0.44101, -0.71479, -0.54277], [-0.45074, -0.69934, 0.55475], [-0.77611, -0.0, -0.6306]]
inst 622 motor_bearing_holder.stl center [79.975, -199.903, 6.317] origin [79.974, -199.903, 8.75] axes [[-0.85604, 0.51691, 0.0], [0.51691, 0.85604, 0.0], [0.0, 0.0, -1.0]]
inst 623 bearing_insert.stl center [79.974, -199.903, 2.152] origin [79.974, -199.903, 7.75] axes [[0.99255, 0.12187, -0.0], [0.12187, -0.99255, 0.0], [0.0, -0.0, -1.0]]
inst 624 motor_flange.stl center [79.974, -199.903, 54.647] origin [79.974, -199.903, 52.75] axes [[1.0, 0.0, 0.0], [0.0, -0.0, 1.0], [0.0, -1.0, -0.0]]
inst 658 femur_first_stage.stl center [131.849, 251.081, 39.6] origin [143.69, 263.088, 47.664] axes [[0.3068, 0.70305, -0.64156], [0.30331, -0.71114, -0.63426], [-0.90215, -0.0, -0.43142]]
inst 671 motor_bearing_holder.stl center [177.396, 265.569, 59.96] origin [175.685, 267.299, 59.96] axes [[0.23671, -0.67058, 0.70306], [0.23402, -0.66296, -0.71113], [0.94298, 0.33286, -0.0]]
inst 672 bearing_insert.stl center [180.324, 262.607, 59.96] origin [176.388, 266.588, 59.96] axes [[0.70565, 0.08818, 0.70305], [0.69763, 0.08717, -0.71114], [-0.12399, 0.99228, -0.0]]
inst 673 motor_flange.stl center [143.417, 299.938, 59.96] origin [144.751, 298.589, 59.96] axes [[-0.08817, 0.70305, -0.70565], [-0.08717, -0.71114, -0.69763], [-0.99228, -0.0, 0.12399]]
inst 696 motor_bearing_holder.stl center [130.241, 218.95, 28.25] origin [128.53, 220.68, 28.25] axes [[0.50285, 0.50285, 0.70305], [0.49713, 0.49713, -0.71114], [-0.70711, 0.70711, -0.0]]
inst 697 bearing_insert.stl center [133.169, 215.987, 28.25] origin [129.233, 219.968, 28.25] axes [[0.3068, 0.64156, 0.70305], [0.30331, 0.63426, -0.71114], [-0.90215, 0.43142, -0.0]]
inst 698 motor_flange.stl center [96.262, 253.319, 28.25] origin [97.595, 251.97, 28.25] axes [[0.3068, 0.70305, -0.64156], [0.30331, -0.71114, -0.63426], [-0.90215, -0.0, -0.43142]]
inst 703 motor_bearing_holder.stl center [79.974, 200.097, 6.317] origin [79.974, 200.097, 8.75] axes [[-0.51246, -0.85871, -0.0], [-0.85871, 0.51246, 0.0], [0.0, 0.0, -1.0]]
inst 704 bearing_insert.stl center [79.974, 200.097, 2.152] origin [79.974, 200.097, 7.75] axes [[0.99255, 0.12187, -0.0], [0.12187, -0.99255, 0.0], [-0.0, -0.0, -1.0]]
inst 705 motor_flange.stl center [79.974, 200.097, 54.647] origin [79.974, 200.097, 52.75] axes [[1.0, 0.0, -0.0], [0.0, -0.0, 1.0], [-0.0, -1.0, -0.0]]
