variant,femur_scale,tibia_scale,femur_length_m,tibia_length_m,max_abs_static_hold_torque_nm,static_torque_margin_nm,six_foot_geometry_eligible,reset_root_height_m,simulation_validated
f040_t050,0.4,0.5,0.057999999999999996,0.10500000703334808,0.5486911848961364,1.0513088151038636,True,0.12898268333509477,False
f040_t060,0.4,0.6,0.057999999999999996,0.12600000844001769,0.5406758756825574,1.0593241243174427,True,0.14998268474169046,False
f040_t080,0.4,0.8,0.057999999999999996,0.16800001125335695,0.5406757939558994,1.0593242060441006,True,0.19198268755488185,False
f045_t050,0.45,0.5,0.06525,0.10500000703334808,0.6099766277517246,0.9900233722482755,True,0.12482425956156187,False
f045_t060,0.45,0.6,0.06525,0.12600000844001769,0.6010560676240977,0.9989439323759024,True,0.14582426096815757,False
f045_t080,0.45,0.8,0.06525,0.16800001125335695,0.6010559773279888,0.9989440226720113,True,0.18782426378134895,False
f055_t050,0.55,0.5,0.07975,0.10500000703334808,0.7325279358446177,0.8674720641553824,True,0.11650741201449608,False
f055_t060,0.55,0.6,0.07975,0.12600000844001769,0.7218164038473212,0.8781835961526789,True,0.13750741342109177,False
f055_t080,0.55,0.8,0.07975,0.16800001125335695,0.7218162968596796,0.8781837031403205,True,0.17950741623428315,False
